,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,91.005,13,6.25,-7.71,0.69,-34.5625,21.0,10.375,-1.2722222222222221,1.1844444444444444,0.21444444444444444,75.6875,40.75,91.875,147980288.0,-191922176.0,-9945088.0,-114999296.0,-0.15,-0.29,0.94,6.4,-7.41,-0.24
11,99.119,8,6.25,-8.03,0.91,-34.5625,21.0,10.375,-1.01,1.021111111111111,0.21777777777777776,76.375,40.6875,91.9375,147226624.0,-192069632.0,-8486912.0,-115834880.0,-0.13,-0.6,1.16,6.39,-7.42,-0.25
12,107.06599999999999,7,6.18,-8.11,0.92,-34.5625,21.0,10.375,-0.7255555555555555,0.81,0.2,76.875,40.5625,91.9375,146702336.0,-192151552.0,-7340032.0,-116457472.0,-0.2,-0.67,1.18,6.38,-7.44,-0.25
13,117.50399999999999,10,6.16,-8.15,0.85,-34.5625,21.0,10.375,-0.4388888888888889,0.5777777777777777,0.15222222222222223,77.1875,40.5,91.9375,146407424.0,-192135168.0,-6553600.0,-116883456.0,-0.21,-0.71,1.1,6.37,-7.44,-0.25
14,127.558,10,6.11,-8.15,0.79,-34.5625,21.0,10.375,-0.19666666666666666,0.33555555555555555,0.0811111111111111,77.375,40.5,91.875,146276352.0,-192086016.0,-6127616.0,-117145600.0,-0.25,-0.7,1.04,6.36,-7.45,-0.24
15,140.648,13,5.99,-8.1,0.49,-35.25,19.75,11.5625,-0.005555555555555556,0.09888888888888889,-0.005555555555555556,78.1875,40.5,91.8125,145440768.0,-192069632.0,-4669440.0,-118292480.0,-0.37,-0.64,0.73,6.36,-7.45,-0.24
16,148.21,7,5.94,-8.04,0.27,-35.25,19.75,11.5625,0.12666666666666668,-0.11333333333333333,-0.1,78.1875,40.5,91.8125,145489920.0,-192053248.0,-4915200.0,-118259712.0,-0.43,-0.6,0.51,6.37,-7.44,-0.23
17,158.07399999999998,9,5.92,-7.96,0.03,-35.25,19.75,11.5625,0.20777777777777778,-0.2877777777777778,-0.18777777777777777,78.0625,40.625,91.8125,145571840.0,-192053248.0,-5406720.0,-118112256.0,-0.46,-0.53,0.27,6.38,-7.43,-0.24
18,167.58,9,5.95,-7.75,-0.2,-35.25,19.75,11.5625,0.26,-0.43,-0.2611111111111111,77.9375,40.75,91.875,145653760.0,-192118784.0,-6094848.0,-117899264.0,-0.45,-0.33,0.04,6.4,-7.42,-0.24
19,177.646,10,5.97,-7.78,-0.35,-35.25,19.75,11.5625,0.2733333333333333,-0.5266666666666666,-0.31333333333333335,77.8125,40.9375,92.0,145702912.0,-192217088.0,-6897664.0,-117620736.0,-0.45,-0.38,-0.08,6.42,-7.4,-0.26
20,189.536,11,6.01,-7.7,-0.45,-35.6875,19.75,12.5,0.25666666666666665,-0.5822222222222222,-0.3411111111111111,77.625,41.0625,92.125,145735680.0,-192348160.0,-7749632.0,-117325824.0,-0.43,-0.32,-0.17,6.44,-7.38,-0.27
21,196.983,7,6.06,-7.65,-0.5,-35.6875,19.75,12.5,0.25555555555555554,-0.5966666666666667,-0.3477777777777778,77.5,41.25,92.3125,145752064.0,-192479232.0,-8617984.0,-116998144.0,-0.41,-0.29,-0.2,6.47,-7.36,-0.29
22,207.68900000000002,10,6.05,-7.61,-0.57,-35.6875,19.75,12.5,0.2577777777777778,-0.5788888888888889,-0.33444444444444443,77.3125,41.4375,92.4375,145768448.0,-192610304.0,-9469952.0,-116686848.0,-0.43,-0.27,-0.26,6.49,-7.34,-0.31
23,217.642,9,6.09,-7.56,-0.55,-35.6875,19.75,12.5,0.26666666666666666,-0.5444444444444444,-0.30666666666666664,77.1875,41.5625,92.5625,145817600.0,-192724992.0,-10289152.0,-116391936.0,-0.41,-0.24,-0.21,6.51,-7.32,-0.33
24,227.666,10,6.1,-7.49,-0.52,-35.6875,19.75,12.5,0.27444444444444444,-0.49333333333333335,-0.2677777777777778,77.0,41.75,92.625,145899520.0,-192790528.0,-11026432.0,-116113408.0,-0.42,-0.18,-0.17,6.53,-7.3,-0.34
25,239.704,12,5.98,-7.48,-0.52,-35.6875,19.1875,13.375,0.26555555555555554,-0.4266666666666667,-0.21555555555555556,76.8125,41.8125,92.75,145997824.0,-192823296.0,-11665408.0,-115867648.0,-0.55,-0.19,-0.17,6.54,-7.29,-0.35
26,247.85,8,5.94,-7.44,-0.49,-35.6875,19.1875,13.375,0.2388888888888889,-0.35777777777777775,-0.16,76.625,41.875,92.8125,146145280.0,-192888832.0,-12091392.0,-115539968.0,-0.6,-0.14,-0.13,6.54,-7.29,-0.35
27,258.743,10,5.89,-7.45,-0.5,-35.6875,19.1875,13.375,0.24444444444444444,-0.2966666666666667,-0.10333333333333333,76.375,41.8125,92.8125,146341888.0,-192905216.0,-12435456.0,-115212288.0,-0.64,-0.15,-0.14,6.54,-7.29,-0.36
28,268.49699999999996,9,5.91,-7.52,-0.49,-35.6875,19.1875,13.375,0.2588888888888889,-0.23,-0.04555555555555556,76.125,41.8125,92.8125,146587648.0,-192888832.0,-12664832.0,-114900992.0,-0.62,-0.22,-0.13,6.53,-7.3,-0.36
29,279.003,10,5.91,-7.49,-0.45,-35.6875,19.1875,13.375,0.2911111111111111,-0.17666666666666667,0.006666666666666667,75.875,41.6875,92.75,146898944.0,-192806912.0,-12828672.0,-114622464.0,-0.61,-0.18,-0.09,6.52,-7.3,-0.35
30,290.451,11,5.85,-7.59,-0.38,-36.5625,20.25,13.75,0.3211111111111111,-0.12444444444444444,0.052222222222222225,75.625,41.625,92.6875,147275776.0,-192692224.0,-12926976.0,-114327552.0,-0.66,-0.27,-0.03,6.51,-7.32,-0.34
31,297.54900000000004,7,5.84,-7.69,-0.42,-36.5625,20.25,13.75,0.31333333333333335,-0.07555555555555556,0.09111111111111111,75.3125,41.4375,92.5625,147685376.0,-192544768.0,-12926976.0,-114049024.0,-0.65,-0.35,-0.09,6.49,-7.33,-0.33
32,308.005,10,5.82,-7.67,-0.36,-36.5625,20.25,13.75,0.3088888888888889,-0.03,0.11333333333333333,75.0625,41.3125,92.375,148094976.0,-192380928.0,-12861440.0,-113786880.0,-0.65,-0.31,-0.05,6.47,-7.35,-0.31
33,318.525,10,5.7,-7.7,-0.3,-36.5625,20.25,13.75,0.33555555555555555,0.0011111111111111111,0.13,74.75,41.125,92.25,148570112.0,-192184320.0,-12746752.0,-113524736.0,-0.75,-0.33,-0.01,6.45,-7.37,-0.29
34,328.986,10,5.73,-7.93,-0.28,-36.5625,20.25,13.75,0.38222222222222224,0.025555555555555557,0.13666666666666666,74.4375,40.9375,92.0,149094400.0,-191938560.0,-12615680.0,-113246208.0,-0.69,-0.53,-0.02,6.42,-7.4,-0.26
35,340.579,11,5.8,-7.87,-0.27,-38.0625,19.25,14.1875,0.44,0.034444444444444444,0.12555555555555556,74.0625,40.75,91.75,149667840.0,-191643648.0,-12533760.0,-113016832.0,-0.6,-0.45,-0.04,6.4,-7.42,-0.23
36,348.103,7,5.78,-7.78,-0.27,-38.0625,19.25,14.1875,0.49777777777777776,0.03777777777777778,0.09444444444444444,73.75,40.625,91.5,150257664.0,-191315968.0,-12533760.0,-112803840.0,-0.6,-0.34,-0.08,6.38,-7.43,-0.19
37,359.288,11,5.72,-7.74,-0.38,-38.0625,19.25,14.1875,0.5188888888888888,0.03666666666666667,0.06555555555555556,73.4375,40.5,91.25,150831104.0,-190971904.0,-12582912.0,-112607232.0,-0.64,-0.28,-0.22,6.37,-7.45,-0.16
38,368.93399999999997,9,5.65,-7.61,-0.42,-38.0625,19.25,14.1875,0.56,0.03777777777777778,0.044444444444444446,73.1875,40.375,90.9375,151388160.0,-190611456.0,-12697600.0,-112443392.0,-0.69,-0.15,-0.29,6.35,-7.46,-0.12
39,378.577,9,5.53,-7.56,-0.42,-38.0625,19.25,14.1875,0.6477777777777778,0.028888888888888888,0.034444444444444444,72.875,40.3125,90.625,152027136.0,-190201856.0,-12861440.0,-112279552.0,-0.8,-0.08,-0.34,6.34,-7.47,-0.08
40,390.60699999999997,12,5.48,-7.5,-0.46,-36.25,19.875,14.1875,0.7333333333333333,0.022222222222222223,0.034444444444444444,72.5,40.1875,90.25,152715264.0,-189726720.0,-13090816.0,-112082944.0,-0.84,-0.01,-0.42,6.33,-7.48,-0.03
41,397.843,7,5.47,-7.43,-0.46,-36.25,19.875,14.1875,0.8066666666666666,0.01,0.044444444444444446,72.1875,40.1875,89.8125,153468928.0,-189153280.0,-13484032.0,-112001024.0,-0.85,0.05,-0.48,6.32,-7.49,0.01
42,407.447,9,5.47,-7.4,-0.5,-36.25,19.875,14.1875,0.86,0.0044444444444444444,0.058888888888888886,71.875,40.125,89.375,154271744.0,-188530688.0,-13893632.0,-111902720.0,-0.84,0.08,-0.58,6.32,-7.49,0.08
43,417.584,10,5.37,-7.32,-0.48,-36.25,19.875,14.1875,0.8933333333333333,-0.005555555555555556,0.08555555555555555,71.5,40.0625,88.875,155123712.0,-187875328.0,-14286848.0,-111771648.0,-0.94,0.17,-0.62,6.31,-7.49,0.14
44,428.535,10,5.32,-7.29,-0.49,-36.25,19.875,14.1875,0.9188888888888889,-0.023333333333333334,0.11777777777777777,71.0625,39.9375,88.5,155959296.0,-187400192.0,-14548992.0,-111394816.0,-0.97,0.22,-0.68,6.29,-7.51,0.19
45,440.69399999999996,12,5.27,-7.29,-0.52,-34.0625,20.25,11.0,0.9344444444444444,-0.03777777777777778,0.15333333333333332,70.5,39.75,88.1875,156794880.0,-186941440.0,-14778368.0,-110936064.0,-1.0,0.23,-0.75,6.27,-7.53,0.23
46,447.442,6,5.23,-7.24,-0.49,-34.0625,20.25,11.0,0.9533333333333334,-0.05444444444444444,0.18777777777777777,70.0,39.5625,87.875,157663232.0,-186499072.0,-15024128.0,-110428160.0,-1.01,0.31,-0.77,6.24,-7.55,0.27
47,457.94,10,5.18,-7.28,-0.48,-34.0625,20.25,11.0,0.9733333333333334,-0.07333333333333333,0.22333333333333333,69.4375,39.375,87.5625,158531584.0,-186073088.0,-15237120.0,-109854720.0,-1.03,0.29,-0.8,6.22,-7.57,0.31
48,468.608,10,5.2,-7.33,-0.44,-34.0625,20.25,11.0,0.9888888888888889,-0.09333333333333334,0.24888888888888888,68.8125,39.125,87.25,159432704.0,-185647104.0,-15450112.0,-109248512.0,-0.98,0.26,-0.8,6.19,-7.59,0.36
49,478.52299999999997,9,5.22,-7.32,-0.4,-34.0625,20.25,11.0,1.01,-0.11777777777777777,0.27,68.1875,38.875,86.9375,160350208.0,-185204736.0,-15695872.0,-108625920.0,-0.93,0.29,-0.8,6.16,-7.61,0.4
50,490.541,12,5.21,-7.39,-0.28,-36.25,21.1875,11.75,1.0366666666666666,-0.1388888888888889,0.2788888888888889,67.5625,38.6875,86.625,161300480.0,-184729600.0,-15974400.0,-107970560.0,-0.91,0.24,-0.73,6.13,-7.64,0.44
51,497.923,7,5.2,-7.38,-0.26,-36.25,21.1875,11.75,1.0522222222222222,-0.16444444444444445,0.2811111111111111,66.9375,38.4375,86.25,162267136.0,-184238080.0,-16269312.0,-107315200.0,-0.89,0.27,-0.75,6.1,-7.66,0.49
52,508.297,10,5.17,-7.36,-0.19,-36.25,21.1875,11.75,1.0777777777777777,-0.19666666666666666,0.2777777777777778,66.25,38.25,85.9375,163250176.0,-183730176.0,-16613376.0,-106643456.0,-0.9,0.31,-0.73,6.07,-7.68,0.54
53,517.6650000000001,9,5.07,-7.43,0.03,-36.25,21.1875,11.75,1.0933333333333333,-0.2288888888888889,0.26666666666666666,65.6875,38.0625,85.4375,164315136.0,-183025664.0,-17121280.0,-106151936.0,-0.97,0.25,-0.57,6.05,-7.69,0.6
54,527.713,10,5.04,-7.47,0.1,-36.25,21.1875,11.75,1.1033333333333333,-0.2688888888888889,0.24666666666666667,65.125,37.9375,84.9375,165380096.0,-182304768.0,-17678336.0,-105627648.0,-0.99,0.22,-0.57,6.03,-7.69,0.67
55,539.458,11,4.99,-7.44,0.14,-34.75,22.875,11.0,1.1222222222222222,-0.31666666666666665,0.22111111111111112,64.5,37.875,84.5,166428672.0,-181600256.0,-18284544.0,-105086976.0,-1.02,0.25,-0.59,6.02,-7.7,0.73
56,546.71,7,5.04,-7.53,0.28,-34.75,22.875,11.0,1.1466666666666667,-0.3711111111111111,0.18888888888888888,63.875,37.75,84.0625,167477248.0,-180895744.0,-18989056.0,-104513536.0,-0.96,0.17,-0.51,6.01,-7.7,0.8
57,557.723,11,5.11,-7.61,0.4,-34.75,22.875,11.0,1.1855555555555555,-0.4311111111111111,0.15555555555555556,63.25,37.75,83.5625,168542208.0,-180174848.0,-19791872.0,-103907328.0,-0.89,0.08,-0.45,6.0,-7.7,0.86
58,567.761,10,5.13,-7.69,0.52,-34.75,22.875,11.0,1.241111111111111,-0.5,0.11666666666666667,62.625,37.6875,83.125,169607168.0,-179437568.0,-20709376.0,-103268352.0,-0.86,0.0,-0.39,5.99,-7.7,0.92
59,577.767,10,5.11,-7.78,0.59,-34.75,22.875,11.0,1.3,-0.5633333333333334,0.08444444444444445,62.0,37.6875,82.625,170688512.0,-178667520.0,-21725184.0,-102596608.0,-0.88,-0.08,-0.39,5.99,-7.69,0.98
60,589.684,11,5.11,-7.9,0.8,-35.5625,24.0625,9.375,1.3733333333333333,-0.6355555555555555,0.04888888888888889,61.3125,37.6875,82.1875,171819008.0,-177864704.0,-22872064.0,-101859328.0,-0.88,-0.22,-0.24,6.0,-7.68,1.05
61,596.7710000000001,7,5.11,-7.98,0.79,-35.5625,24.0625,9.375,1.46,-0.7166666666666667,0.016666666666666666,60.5625,37.75,81.6875,172982272.0,-177012736.0,-24150016.0,-101089280.0,-0.88,-0.31,-0.32,6.0,-7.67,1.11
62,607.77,10,5.13,-8.13,0.84,-35.5625,24.0625,9.375,1.54,-0.79,-0.015555555555555555,59.8125,37.8125,81.1875,174161920.0,-176128000.0,-25542656.0,-100253696.0,-0.88,-0.47,-0.33,6.01,-7.65,1.18
63,617.765,9,5.14,-8.22,0.93,-35.5625,24.0625,9.375,1.6277777777777778,-0.8655555555555555,-0.043333333333333335,59.0625,37.9375,80.625,175390720.0,-175177728.0,-27082752.0,-99368960.0,-0.88,-0.59,-0.32,6.03,-7.63,1.25
64,627.796,10,5.11,-8.37,1.02,-35.5625,24.0625,9.375,1.7344444444444445,-0.95,-0.06666666666666667,58.1875,38.0625,80.0625,176685056.0,-174161920.0,-28737536.0,-98402304.0,-0.92,-0.76,-0.29,6.04,-7.6,1.32
65,640.933,13,5.07,-8.42,1.0,-33.6875,24.375,7.75,1.9222222222222223,-1.1044444444444443,-0.10888888888888888,58.1875,38.1875,79.5,177258496.0,-173293568.0,-29245440.0,-98746368.0,-0.98,-0.85,-0.39,6.06,-7.57,1.4
66,648.6110000000001,7,5.06,-8.5,1.04,-33.6875,24.375,7.75,1.9222222222222223,-1.1044444444444443,-0.10888888888888888,57.3125,38.375,78.875,178634752.0,-172163072.0,-31178752.0,-97665024.0,-1.03,-0.96,-0.42,6.09,-7.54,1.47
67,657.338,8,5.08,-8.6,0.97,-33.6875,24.375,7.75,2.0155555555555558,-1.1677777777777778,-0.12666666666666668,56.375,38.5625,78.3125,180043776.0,-170967040.0,-33193984.0,-96501760.0,-1.03,-1.09,-0.57,6.11,-7.5,1.55
68,667.879,10,5.05,-8.68,0.96,-33.6875,24.375,7.75,2.101111111111111,-1.218888888888889,-0.14444444444444443,55.375,38.8125,77.6875,181469184.0,-169689088.0,-35323904.0,-95305728.0,-1.09,-1.22,-0.66,6.14,-7.46,1.62
69,677.8729999999999,9,4.96,-8.66,0.93,-33.6875,24.375,7.75,2.16,-1.2566666666666666,-0.15666666666666668,54.375,39.0,77.0,182927360.0,-168361984.0,-37502976.0,-94060544.0,-1.2,-1.24,-0.77,6.17,-7.42,1.7
70,691.119,13,4.9,-8.67,0.89,-33.25,26.0,7.75,2.212222222222222,-1.2944444444444445,-0.1688888888888889,54.125,39.25,76.3125,183779328.0,-167215104.0,-38682624.0,-93945856.0,-1.3,-1.3,-0.88,6.21,-7.37,1.78
71,698.36,7,4.91,-8.83,0.88,-33.25,26.0,7.75,2.212222222222222,-1.2944444444444445,-0.1688888888888889,53.125,39.5,75.6875,185204736.0,-165822464.0,-40943616.0,-92651520.0,-1.33,-1.51,-0.98,6.24,-7.32,1.86
72,708.649,10,4.88,-8.84,0.88,-33.25,26.0,7.75,2.19,-1.2922222222222222,-0.1688888888888889,52.125,39.8125,75.0625,186597376.0,-164413440.0,-43171840.0,-91340800.0,-1.39,-1.57,-1.06,6.28,-7.27,1.94
73,718.1999999999999,9,4.86,-8.84,0.89,-33.25,26.0,7.75,2.161111111111111,-1.281111111111111,-0.1688888888888889,51.1875,40.0625,74.375,187924480.0,-163020800.0,-45367296.0,-90046464.0,-1.44,-1.62,-1.12,6.31,-7.22,2.01
74,728.3969999999999,10,4.84,-8.87,0.86,-33.25,26.0,7.75,1.998888888888889,-1.2144444444444444,-0.14888888888888888,50.25,40.3125,73.8125,189136896.0,-161710080.0,-47431680.0,-88801280.0,-1.5,-1.69,-1.21,6.35,-7.17,2.07
75,740.306,11,4.84,-8.88,0.81,-32.5625,26.375,5.875,1.8955555555555557,-1.1588888888888889,-0.13333333333333333,49.4375,40.5625,73.3125,190267392.0,-160448512.0,-49364992.0,-87588864.0,-1.53,-1.75,-1.32,6.38,-7.13,2.13
76,747.575,7,4.84,-8.86,0.81,-32.5625,26.375,5.875,1.8955555555555557,-1.1588888888888889,-0.13333333333333333,48.5625,40.8125,72.75,191381504.0,-159186944.0,-51298304.0,-86376448.0,-1.57,-1.77,-1.37,6.41,-7.08,2.19
77,758.437,10,4.8,-8.77,0.77,-32.5625,26.375,5.875,1.7777777777777777,-1.09,-0.1111111111111111,47.75,41.0625,72.25,192397312.0,-157974528.0,-53100544.0,-85229568.0,-1.64,-1.73,-1.47,6.44,-7.04,2.24
78,768.83,10,4.64,-8.66,0.78,-32.5625,26.375,5.875,1.468888888888889,-0.9144444444444444,-0.043333333333333335,46.875,41.0,72.1875,193183744.0,-157433856.0,-54198272.0,-83755008.0,-1.79,-1.61,-1.47,6.43,-7.04,2.26
79,778.792,9,4.56,-8.59,0.78,-32.5625,26.375,5.875,1.3144444444444445,-0.82,0.0011111111111111111,45.875,40.8125,72.25,193855488.0,-157253632.0,-54902784.0,-82083840.0,-1.84,-1.52,-1.46,6.4,-7.07,2.25
80,791.2719999999999,12,4.49,-8.5,0.8,-33.25,28.5625,5.5,1.16,-0.73,0.06,45.25,40.875,72.0,194543616.0,-156467200.0,-55967744.0,-81182720.0,-1.93,-1.46,-1.48,6.42,-7.04,2.28
81,802.582,11,4.39,-8.4,0.86,-33.25,28.5625,5.5,1.0144444444444445,-0.6433333333333333,0.12555555555555556,44.6875,40.9375,71.75,195182592.0,-155811840.0,-56868864.0,-80314368.0,-2.03,-1.37,-1.45,6.42,-7.03,2.31
82,810.5400000000001,7,4.19,-8.31,1.0,-33.25,28.5625,5.5,0.8822222222222222,-0.5744444444444444,0.20555555555555555,44.125,40.9375,71.5625,195756032.0,-155271168.0,-57589760.0,-79462400.0,-2.23,-1.28,-1.33,6.42,-7.02,2.34
83,818.2810000000001,7,4.17,-8.31,1.12,-33.25,28.5625,5.5,0.8011111111111111,-0.5244444444444445,0.29555555555555557,43.625,40.875,71.375,196313088.0,-154796032.0,-58163200.0,-78577664.0,-2.23,-1.28,-1.24,6.41,-7.02,2.36
84,827.885,9,4.18,-8.36,1.39,-33.25,28.5625,5.5,0.7677777777777778,-0.4988888888888889,0.39666666666666667,43.0,40.75,71.25,196886528.0,-154386432.0,-58621952.0,-77627392.0,-2.21,-1.33,-0.98,6.4,-7.03,2.38
85,839.812,11,4.5,-8.5,1.74,-32.1875,28.25,5.6875,0.7755555555555556,-0.49,0.5177777777777778,42.375,40.5625,71.125,197509120.0,-153976832.0,-58982400.0,-76562432.0,-1.87,-1.46,-0.66,6.37,-7.04,2.4
86,847.533,7,4.77,-8.55,1.92,-32.1875,28.25,5.6875,0.8022222222222222,-0.5055555555555555,0.6566666666666666,41.625,40.3125,71.0,198180864.0,-153583616.0,-59260928.0,-75350016.0,-1.57,-1.48,-0.5,6.34,-7.06,2.42
87,857.8480000000001,10,4.99,-8.64,2.07,-32.1875,28.25,5.6875,0.85,-0.5322222222222223,0.8144444444444444,40.75,40.0,70.875,198950912.0,-153206784.0,-59473920.0,-73957376.0,-1.31,-1.54,-0.37,6.3,-7.09,2.45
88,867.965,10,5.18,-8.79,2.22,-32.1875,28.25,5.6875,0.9377777777777778,-0.5755555555555556,0.9755555555555555,39.75,39.5625,70.75,199802880.0,-152797184.0,-59637760.0,-72351744.0,-1.06,-1.65,-0.26,6.25,-7.13,2.48
89,877.9590000000001,9,5.53,-8.87,2.38,-32.1875,28.25,5.6875,1.038888888888889,-0.6233333333333333,1.1377777777777778,38.6875,39.125,70.625,200769536.0,-152338432.0,-59752448.0,-70516736.0,-0.65,-1.7,-0.12,6.18,-7.17,2.51
90,891.0550000000001,13,5.56,-8.91,2.43,-31.5,29.75,6.0625,1.1333333333333333,-0.6677777777777778,1.2866666666666666,38.0,38.5625,70.5,201506816.0,-152109056.0,-59162624.0,-69386240.0,-0.54,-1.69,-0.12,6.11,-7.22,2.55
91,898.668,7,5.56,-8.95,2.36,-31.5,29.75,6.0625,1.2555555555555555,-0.7155555555555555,1.4188888888888889,36.625,37.9375,70.3125,202670080.0,-151535616.0,-59228160.0,-67158016.0,-0.47,-1.68,-0.23,6.03,-7.27,2.6
92,908.317,9,5.61,-9.01,2.27,-31.5,29.75,6.0625,1.3844444444444444,-0.7555555555555555,1.5344444444444445,35.1875,37.3125,70.0625,203931648.0,-150863872.0,-59293696.0,-64749568.0,-0.33,-1.68,-0.37,5.94,-7.32,2.65
93,917.862,9,5.62,-9.03,2.24,-31.5,29.75,6.0625,1.488888888888889,-0.7855555555555556,1.6288888888888888,33.6875,36.625,69.75,205275136.0,-150110208.0,-59342848.0,-62177280.0,-0.23,-1.65,-0.46,5.85,-7.38,2.71
94,927.917,10,5.64,-9.05,2.19,-31.5,29.75,6.0625,1.5677777777777777,-0.8011111111111111,1.698888888888889,32.125,35.9375,69.4375,206651392.0,-149291008.0,-59359232.0,-59506688.0,-0.11,-1.62,-0.58,5.75,-7.43,2.78
95,940.079,12,5.7,-9.14,2.17,-29.5625,31.6875,3.875,1.6133333333333333,-0.8077777777777778,1.7544444444444445,30.5,35.1875,69.125,208044032.0,-148422656.0,-59359232.0,-56754176.0,0.04,-1.65,-0.67,5.65,-7.48,2.85
96,947.84,7,5.69,-8.98,2.21,-29.5625,31.6875,3.875,1.6311111111111112,-0.8055555555555556,1.7866666666666666,28.875,34.4375,68.75,209436672.0,-147521536.0,-59342848.0,-53952512.0,0.14,-1.44,-0.71,5.54,-7.53,2.92
97,958.7139999999999,10,5.65,-8.86,2.33,-29.5625,31.6875,3.875,1.5644444444444445,-0.8022222222222222,1.8122222222222222,27.25,33.6875,68.4375,210763776.0,-146669568.0,-59260928.0,-51134464.0,0.21,-1.27,-0.65,5.44,-7.58,2.99
98,968.569,9,5.64,-8.77,2.42,-29.5625,31.6875,3.875,1.4933333333333334,-0.8188888888888889,1.8277777777777777,25.625,32.9375,68.125,211992576.0,-145883136.0,-59162624.0,-48316416.0,0.31,-1.13,-0.63,5.33,-7.63,3.06
99,978.078,9,5.34,-8.48,2.58,-29.5625,31.6875,3.875,1.451111111111111,-0.8477777777777777,1.8455555555555556,24.0625,32.125,67.875,213172224.0,-145113088.0,-59064320.0,-45449216.0,0.12,-0.79,-0.53,5.22,-7.68,3.12
100,989.9639999999999,11,5.15,-8.48,2.58,-27.75,35.0,2.25,1.4111111111111112,-0.8922222222222222,1.8588888888888888,22.4375,31.375,67.625,214286336.0,-144392192.0,-58998784.0,-42549248.0,0.03,-0.74,-0.6,5.11,-7.73,3.18
101,997.232,7,4.98,-8.46,2.51,-27.75,35.0,2.25,1.3733333333333333,-0.9511111111111111,1.87,20.8125,30.625,67.375,215318528.0,-143704064.0,-58949632.0,-39616512.0,-0.01,-0.67,-0.72,5.0,-7.78,3.24
102,1008.005,10,4.88,-8.43,2.43,-27.75,35.0,2.25,1.3333333333333333,-1.0155555555555555,1.8788888888888888,19.1875,29.9375,67.1875,216285184.0,-143048704.0,-58949632.0,-36618240.0,0.0,-0.6,-0.85,4.89,-7.83,3.29
103,1017.995,9,4.75,-8.32,2.31,-27.75,35.0,2.25,1.268888888888889,-1.0811111111111111,1.8866666666666667,17.5625,29.1875,67.0,217153536.0,-142442496.0,-58998784.0,-33587200.0,-0.03,-0.44,-1.01,4.78,-7.88,3.33
104,1028.076,10,4.73,-8.29,2.25,-27.75,35.0,2.25,1.1944444444444444,-1.1388888888888888,1.8988888888888888,15.9375,28.5,66.9375,217939968.0,-141918208.0,-59080704.0,-30523392.0,0.05,-0.36,-1.11,4.68,-7.92,3.37
